country_iso3,foreign_direct_investment_inflows,gdp_per_capita,continent,net_barter_of_trade,inflation_rate,population,langoff_1,gdp_growth,agriculture_forestry_fishing_of_gdp,industry_of_gdp,area,gdp_us_dollar,merchandise_of_gdp,landlocked
LBN,3137050288.4,7675.30893971499,Asia,98.07527278,4.97148571692381,5202022,Arabic,0.8673398773,3.80460970717627,14.5062160702885,10452,39927125961.0,66.1555255083281,0
LBR,2086006933.33333,596.89663532503,Africa,149.2426781,8.48816751849397,4017446,English,8.20076584,44.3005004170142,8.30011676396997,111369,2398000000.0,58.8407005838199,0
LBY,0.0,5554.18005326459,Africa,209.0821118,15.5184815317562,6247438,Arabic,-62.07591958,1.0,80.0,1759540,34699395524.0,77.9840674215495,0
LCA,96416427.7777778,8983.74373302309,America,99.24634389,2.76940794144096,175538,English,5.483411333,2.34202618789067,11.5839152109129,617,1576988407.0,54.3440900373466,0
LKA,955920000.0,3200.86113238282,Asia,99.79717962,6.7167684358854,20398496,Sinhala,8.404733021,8.83166396340375,27.9956667878927,65610,65292753005.0,46.7203458206856,0
LSO,61173319.2085146,1287.26953644869,Africa,73.8478424,5.03663052101557,2003793,English,5.355154953,4.54393031933864,33.1994946050199,30355,2622336148.0,142.357491199497,1
LTU,1880811089.20549,14376.9478643932,Europe,93.88788638,4.13027562645087,3028115,Lithuanian,6.03900816,3.49019426022174,28.0787490107662,65300,43582248870.0,137.413412785793,0
LUX,8843156716.781,115761.507705096,Europe,77.90731105,3.4106834106834,518347,French,2.539235768,0.252350036648048,11.1886704688833,2586,60004630234.0,82.8702715202826,1
LVA,1519518896.45563,13776.0887766199,Europe,104.8307651,4.37073559939221,2059709,Latvian,6.46884995,3.29022139171058,21.0060361029564,64589,28619991392.0,103.683791222843,0
MAR,2521362080.65559,3046.94785427611,Africa,104.8920643,0.906924909691796,32781860,Arabic,5.245697297,13.1199875133676,26.6121352019384,710850,101370474295.0,65.034715935211,0
MDA,358990000.0,2942.25594861529,Europe,73.629551,7.68725103356185,2859833,Romanian,5.818166405,11.3842529585114,20.910720433661,33700,8414360656.0,88.039962899103,0
MDG,815534454.532063,531.265498542052,Africa,76.8064817,9.48254048582997,21743970,French,1.578429421,29.050202128158,10.9749695582762,587041,11551821062.0,38.9116138117537,0
MDV,423530663.953749,7291.46596660877,Asia,87.34267166,11.2734146055937,380493,Maldivian,8.566733531,5.385634653611,10.0744819854785,298,2774351760.0,65.2765098531897,0
MEX,23835278742.0,10203.4212952716,America,118.426444,3.40737824605736,115695468,Spanish,3.66300793,3.08846155393052,33.556801094017,1967210,1180489601958.0,60.1984972016312,0
MKD,507920732.789,5063.88590630977,Europe,86.30003013,3.90475422069738,2072484,Macedonian,2.339886045,9.35099292094117,21.5924220032487,25713,10494632699.0,109.62548418091,1
MLI,556147161.584486,837.605820999201,Africa,185.7572616,2.95564395229391,15514593,French,3.21313378,34.5586305785061,20.6490800268912,1240142,12995074801.0,44.0627166578842,1
MLT,7806911229.55319,23155.5547893882,Europe,136.1128881,2.96298528192878,416268,English,0.4670505643,0.991911789935635,16.3378778862183,316,9638916472.0,110.790460950395,0
MMR,2519813313.27459,1061.92341090353,Asia,107.90628,5.02146014620726,50990612,Burmese,5.591482378,32.4961825024034,31.2916488307023,678500,59977326086.0,33.7167725169205,0
MNG,4571161962.80891,3757.56541460408,Asia,207.0824438,8.41121495327101,2770357,Mongolian,17.29077758,10.3073568180221,31.3337485626924,1565500,10409797649.0,109.665916520104,1
MOZ,3663937118.45157,594.586147098683,Africa,101.7156638,11.1666056127874,24187500,Portuguese,7.417384316,25.7515292714485,16.5265916451718,801590,14381552433.0,68.9494409329661,0
MRT,588749564.2399,1879.77247186677,Africa,163.9744581,5.68631959575963,3598646,Arabic,4.172783283,14.5158947387598,44.107903772358,1030700,6764635687.0,77.1068870742465,0
MUS,433331010.9385,9197.04299089459,Africa,98.68258119,6.52249254869339,1252404,English,4.077538074,3.70364769678842,21.5997725671184,2045,11518393367.0,66.9710290128143,0
MWI,812751769.848633,534.951050199388,Africa,101.9605141,7.62282262848515,14962118,English,4.854055109,28.7723804157092,15.4137365919801,118484,8004000737.0,48.138426350224,1
MYS,15119439203.9543,10399.3702125714,Asia,114.7991949,3.17447092151309,28650962,Malay,5.293912834,11.4533531198278,39.8242687277964,329758,297951960784.0,139.471812471414,0
NAM,803600584.603823,5806.74824519587,Africa,124.8830323,5.00559518081198,2156698,English,5.091338117,8.11362715866322,29.3288911332516,825518,12343501808.0,87.8355554892372,0
NER,1067186136.05029,512.595335012861,Africa,182.0304457,2.94238514013317,17114770,French,2.357756936,33.6467642815211,22.7795105220039,1267000,8772951262.0,39.2114340697603,1
NGA,8841062050.7726,2487.59801680379,Africa,219.1989891,10.8400275418866,162805080,English,5.307924204,22.2347109927204,28.2777998870502,923768,404993594134.0,42.4698075454665,0
NIC,936300000.0,1655.81805473253,America,278.5234735,8.0823879809911,5903035,Spanish,6.316709606,18.884220035313,23.1573616566978,130670,9774262742.0,107.301231573617,0
NLD,332071022439.732,54159.3466126142,Europe,91.78790653,2.3410701775137,16693074,Dutch,1.551189312,1.57897407431895,20.0661480812905,41863,904085980796.0,139.529538870774,0
NOR,10296323075.6966,100600.562407589,Europe,157.4123989,1.28495158809159,4953088,Norwegian,0.9814694973,1.34465673332777,37.0265440080382,323752,498283438454.0,50.4118701555134,0
NPL,94022157.1167852,799.583376878379,Asia,71.99152515,9.22707546125953,27041220,Nepali,3.421828241,30.7373089937796,13.5851934741107,147181,18913574371.0,30.9549984678486,1
NZL,1378410924.39879,38387.6270784076,Pacific,130.9674814,4.02790667392038,4384000,English,2.358784916,6.28423893909166,20.9947189297031,268676,168510189201.0,44.4312775672448,0
OMN,1629144343.30299,20876.5850396107,Asia,230.3003528,4.04218867116396,3251102,Arabic,2.658868673,1.25647475829366,71.5049154509604,212379,67872692582.0,104.772361275533,0
PAK,1326000000.0,1164.97882332035,Asia,50.45370633,11.9160927116277,183340168,Urdu,2.748405917,25.1291827073544,20.5017880943991,882872,213587413184.0,32.4902104321192,0
PAN,4395600000.0,9358.26157385486,America,180.4503124,5.87580243678762,3706479,Spanish,11.31373175,3.22923814081681,19.8372839919046,75648,34686200000.0,104.816901246029,0
PER,7682261108.57854,5869.32388186462,America,203.2808837,3.36931095333853,29264314,Spanish,6.327192402,7.10011013658205,37.2361002771383,1285216,171761737047.0,48.9765657046099,0
PHL,2007150725.40003,2450.73569408545,Asia,75.11144806,4.71841704718416,95570049,English,3.858232828,14.0957351510823,31.3386827828469,300000,234216730704.0,47.818063289947,0
PLW,8326127.02949998,11094.8332206446,Pacific,84.0194668,4.67469879518072,17748,English,6.683682862,3.75859969295789,8.17424716026674,487,196911100.0,68.5588572711239,0
PNG,36419303.6839465,2406.91096725754,Pacific,226.4494699,4.44083401028976,7472196,English,1.107543597,19.1997113715188,31.3362203529409,462840,17984910496.0,62.1632228796478,0
POL,18534000000.0,13879.5609852546,Europe,99.34090465,4.23940149625935,38063255,Polish,4.757638004,3.08506431236907,29.5788982086579,312685,528301269070.0,75.5805490876543,0
PRT,9821076889.908,23186.9131283278,Europe,90.98701987,3.65301100430729,10557560,Portuguese,-1.696164781,1.83401602752623,19.3449680402193,92389,244797226567.0,58.2167543311327,0
PRY,463994000.0,5329.38743682686,America,113.2161519,8.25396825396825,6333981,Spanish,4.249111045,14.1250204425197,33.7057682962777,406752,33715524704.0,59.6304586516203,1
QAT,938516483.516483,82409.9416434106,Asia,213.0959302,1.13836623529203,2035862,Arabic,13.37517641,0.0966060405058313,73.2142657935366,11437,167775268614.0,81.5233384096972,0
RUS,55083630000.0,14311.0843159612,Asia,194.4982951,8.44046485932559,142960908,Russian,4.300029186,3.1507257212962,29.4135888383738,17075400,2045925608274.0,41.3427544275876,0
RWA,112127535.812557,668.494672193863,Africa,181.854096,3.1,10293333,French,7.958406046,23.8500827456247,18.1489624599224,26338,6884889636.0,36.3753245066492,1
SAU,16308280000.0,23745.8805777495,Asia,148.2665575,5.82621608838853,28267591,Arabic,9.996846552,2.17142778334318,63.6763624880147,2153168,671238840108.0,73.9356798723291,0
SEN,338661995.579347,1366.77450070807,Africa,106.0818813,3.40322829786967,13033814,French,1.458388671,12.9470610352017,23.3061329625455,196722,17902207622.0,47.4394575995592,0
SGP,49155657316.2946,53890.4287270504,Asia,81.87670111,5.2477933984048,5183688,English,6.337870814,0.0346645211472078,25.2604463868213,646,279351168707.0,277.526313416792,0
SLE,950477791.380298,448.337662148696,Africa,65.86315799,6.78819444444446,6563238,English,6.315045036,54.5934658718491,7.869629662271,73326,2942546781.0,70.245272337373,0
SLV,122500004.314785,3266.01258790059,America,80.5127644,5.12892376681616,6210567,Spanish,3.815356138,7.33018829321345,26.195498967402,21041,20283790000.0,75.2965791895893,0
STP,32152348.5469533,1254.54159767468,Africa,115.9719663,14.3271667616801,184521,Portuguese,4.398201685,11.3001321587146,16.6680981670923,964,231488665.2,62.6378924213075,0
SUR,145288761.2,8263.20380320348,America,140.5565891,17.7117796414557,535177,Dutch,5.849367784,8.73235538333795,35.1093274287296,163820,4422276622.0,92.8254912814835,0
SVK,5431592591.915,18361.5694760083,Europe,91.96647031,3.91928599146294,5398384,Slovak,2.847218178,2.1627257821802,31.0354117998344,49036,99122802874.0,161.338254531613,1
SVN,875946337.676014,25095.1322896197,Europe,94.35868968,1.80285171941907,2052843,Slovenian,0.8613277327,2.14260566834084,26.8088279393627,20256,51516366655.0,136.292608658633,0
SWE,6979353755.44351,60755.7595508465,Europe,92.83549928,2.96115073822139,9449213,Swedish,3.195333235,1.67048248278859,23.6323618761744,449964,574094112973.0,63.4023223326953,0
SWZ,98708321.7157849,4496.61296226253,Africa,119.0191438,6.10742714590245,1072029,Swati,2.247229761,9.71988478106542,36.7774895543568,17364,4820499497.0,80.0746893998211,1
SYC,143240665.103455,12189.0951601357,Africa,83.22307843,2.5592677223095,87441,English,7.887279597,2.22137693240376,13.7073969384662,455,1065826670.0,143.738193391937,0
TCD,281900000.0,984.736130484829,Africa,217.8429308,2.02924053678257,12360986,French,0.08286979844,51.1962001303935,12.6090044327778,1284005,12172309523.0,66.5444793771431,1
TGO,728710878.416044,587.097492827983,Africa,115.1477638,3.56351472903955,6595939,French,6.398199052,29.8750736235753,17.1220637287378,56785,3872459250.0,86.9215086051715,0
THA,2473685995.7,5492.12149993341,Asia,93.82092079,3.80879058139634,67518379,Thai,0.8401320831,11.5917917775207,37.9813982711097,513115,370819140947.0,121.720523608315,0
TJK,145883670.0,847.382432066315,Asia,102.3762515,12.4315490430408,7697507,Tajik,7.400640543,23.8355098416752,22.4687490647166,143095,6522732203.0,68.4222479390511,1
TKM,3391067000.0,5649.96210595541,Asia,223.4511001,5.3,5174076,Turkmen,14.69999993,8.88435455800276,65.8692912440737,488100,29233333333.0,70.4675028506271,1
TON,7641551.95808181,4002.81377065344,Pacific,102.4640609,6.27075302995689,103558,Tongan,6.818276144,17.049495008416,19.1712720931761,748,414523388.5,49.9368686453048,0
TTO,41047454.4570203,19034.1207062684,America,139.9827214,5.10713289264559,1336180,English,-0.294354409,0.456542570355529,57.0510122828478,5130,25433011405.0,96.1545591683343,0
TUN,432666011.578487,4264.6781221604,Africa,112.7946423,3.24002842009523,10741872,Arabic,-1.91717768,8.53467551114708,29.8067053069984,164150,45810626509.0,91.2430219468401,0
TUR,16182000000.0,11420.5554558378,Europe,89.02036285,6.47187967115097,73443254,Turkish,11.20011058,8.17395626522538,26.8375169369019,780576,838785707000.0,44.7980072656482,0
TZA,1229361018.44368,781.433895673281,Africa,153.9072005,12.6909694699163,45673520,English,7.672155435,24.9768644464588,26.3820840879288,945090,34657139495.0,44.821933449125,0
UGA,894293858.0,828.994112767086,Africa,121.3141492,15.1251539449716,33476772,English,9.391655493,28.821123716599,25.6551974840714,241038,27752712167.0,28.0700015655905,1
UKR,7207000000.0,3569.75812083898,Europe,106.5521884,7.95572466274646,45706086,Ukrainian,5.465501846,8.19659520719759,25.1092507563514,603677,163159671670.0,92.5804755879079,0
URY,2690094196.66277,14236.7149957359,America,104.9166011,8.09283206302989,3368926,Spanish,5.162133022,8.82916199388321,22.7051202488207,176215,47962439303.0,38.8595748476717,0
USA,263497000000.0,49882.5581321495,America,94.59459459,3.15684156862206,311583481,English,1.550835504,1.21648753662505,19.4169009561953,9529106,15542581104000.0,24.1178217113198,0
UZB,1615052149.82,1926.29299673401,Asia,189.1797913,12.4,29339400,Uzbek,7.784905864,31.6232422641087,21.0597346344211,447400,56516280748.0,41.9808233766003,1
VCT,85623860.3703704,6242.25296246715,America,102.7429679,3.18603111552464,108315,English,-0.4192961684,6.36082276574183,15.6533647393936,389,676129629.6,54.7232340938347,0
VNM,7430000000.0,1525.11902548642,Asia,126.2725419,18.6777322770706,88871384,Vietnamese,6.240302749,19.5677511259479,32.2444134279177,331114,135539438560.0,150.255897592702,0
