country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,area,landlocked,continent,langoff_1,population,gdp_per_capita,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows
CHL,243919085309.0,4.348773532,2.303767036,756945,0,America,Spanish,17969356.0,13574.16924,3.63888345,29.77604704,51.00994981,187.0832936,20879139389.0
CHN,11061553079876.0,1.437023809,7.041328879,9572378,0,Asia,Chinese,1371220000.0,8066.942635,8.387014882,40.84133997,35.73669964,92.53344984,242489331627.0
CIV,45814637971.0,1.251499548,8.84285995,322463,0,Africa,French,23226148.0,1972.545683,18.36220725,19.53306025,46.40874825,172.028851,494408755.8
CIV,45814637971.0,1.251499548,8.84285995,322463,0,Africa,French,23226148.0,1972.545683,18.36220725,19.53306025,46.40874825,172.028851,494408755.8
CMR,30928653814.0,2.685982772,5.651463744,475442,0,Africa,French,23298376.0,1327.502561,14.77247235,25.18184745,32.6655019,139.743462,694336734.9
COG,11953249530.0,3.169097968,-3.235257871,342000,0,Africa,French,4856093.0,2447.539308,5.936442719,47.801808,161.3144982,165.3821674,4278118365.0
COL,293481748241.0,4.990234275,2.955901375,1141748,0,America,Spanish,47520667.0,6175.87603,5.980424808,28.58944789,30.58077735,110.5106749,11723936974.0
COM,966029542.0,0.94,1.116140583,1862,0,Africa,Arabic,777435.0,1242.585682,30.59862821,10.40840816,23.91231077,137.3650485,4936699.51
CRI,54775994479.0,0.8019820051,3.631731442,51076,0,America,Spanish,4847805.0,11642.77805,4.749110429,19.96787847,45.52467575,99.90114876,2955521681.0
CYP,19842404305.0,-2.096997691,3.21856901,9251,0,Europe,Greek,1160987.0,23408.33668,1.874271799,10.20230476,51.99974681,92.45742353,28960532080.0
CZE,188033050460.0,0.3093645485,5.388380838,78864,1,Europe,Czech,10546059.0,17829.69832,2.211213873,33.7818228,159.1432992,103.937475,1699914617.0
DEU,3356235704120.0,0.5144205395,1.491931528,357325,0,Europe,German,81686611.0,41086.72967,0.6846915914,27.10978858,70.83346372,99.77576049,62422464519.0
DEU,3356235704120.0,0.5144205395,1.491931528,357325,0,Europe,German,81686611.0,41086.72967,0.6846915914,27.10978858,70.83346372,99.77576049,62422464519.0
DMA,540737037.0,-0.8438269846,-2.691108924,751,0,America,English,71175.0,7597.288894,14.05557572,12.53364749,45.12359674,104.7550973,11051185.73
DNK,302673070847.0,0.4520341537,2.342591108,43094,0,Europe,Danish,5683483.0,53254.85637,0.9575802013,19.98745459,59.82692794,100.8986677,1850770715.0
DOM,71164825258.0,0.8367463467,6.927018774,48734,0,America,Spanish,10281675.0,6921.520594,5.484695931,28.49636818,37.02531399,109.3756591,2227300000.0
DZA,166361491141.0,4.784447007,3.7,2381741,0,Africa,Arabic,39728020.0,4177.886892,11.57871468,35.72609326,52.03664889,188.3084621,-537792920.9
ECU,99290381000.0,3.966646233,0.09887260835,275716,0,America,Spanish,16212022.0,6124.490887,9.454851422,31.87212767,40.13379705,118.9225335,1322701337.0
EGY,329366576819.0,10.37049034,4.372019079,1001449,0,Africa,Arabic,92442549.0,3562.932658,11.39406277,36.63020582,25.78373338,144.8927869,6925200000.0
ESP,1195119269972.0,-0.5004613214,3.83517266,505954,0,Europe,Spanish,46444832.0,25732.01836,2.735363172,20.08695329,49.71261153,92.3405577,23037070821.0
EST,23048864243.0,-0.4923260065,1.844886677,45227,0,Europe,Estonian,1315407.0,17522.23019,2.837301029,23.69006384,118.6913147,94.12890382,-715465129.9
ETH,64589334979.0,9.56889956,10.39246302,1127127,1,Africa,Amharic,100835453.0,640.5419231,36.05697539,16.29779364,30.37033901,139.9125262,2626517918.0
FIN,234440080998.0,-0.2079288399,0.5436592118,336593,0,Europe,Swedish,5479531.0,42784.69836,2.25370769,23.3058164,51.2911442,92.70763578,16849216580.0
FJI,4682546881.0,1.374885426,4.502018108,18333,0,Pacific,English,868632.0,5390.714207,7.871624085,15.17127027,63.55515678,108.961394,205373209.1
FRA,2438207896252.0,0.03751438051,1.112912341,547026,0,Europe,French,66548272.0,36638.18493,1.605644387,17.67969171,44.17268936,91.16919633,42825414106.0
GAB,14383107714.0,-0.3387951888,3.878899395,267667,0,Africa,French,1947690.0,7384.700704,4.311629044,48.1836273,57.59534146,143.9722072,41707702.33
GBR,2928591002003.0,0.3680468423,2.355524306,244110,0,Europe,English,65116219.0,45039.23595,0.6474648124,18.41990247,37.36561298,96.79833371,45333483122.0
GEO,14953950557.0,4.003578207,3.02220738,69700,0,Asia,Georgian,3725276.0,4014.185944,7.813761603,19.15249742,63.55511183,137.5521703,1735285392.0
GHA,48564863888.0,17.1499695,2.178206744,238538,0,Africa,English,27849203.0,1705.575082,20.78519837,32.13687984,50.0769421,178.2055095,3192320531.0
GIN,8794202444.0,10.82068212,3.81494989,245857,0,Africa,French,11432096.0,769.2554754,18.47824205,26.32463978,45.1774908,99.46276203,53272458.42
GMB,1378176868.0,6.808454946,4.058073804,11295,0,Africa,English,2085860.0,660.7235712,22.20888602,17.14345306,38.81940064,104.0943992,-1692732.888
GNB,1048229629.0,1.476720489,6.134082941,36125,0,Africa,Portuguese,1737207.0,603.3993815,46.78812527,12.25397134,43.78811542,93.10422561,18575499.45
GNQ,13185496836.0,1.676630853,-9.110041149,28051,0,Africa,Spanish,1168575.0,11283.39805,1.888390876,59.10058727,76.03050602,142.0181458,233325072.8
GRC,196591353872.0,-1.736036796,-0.4378338258,131621,0,Europe,Greek,10820883.0,18050.09761,3.870379016,14.51791441,38.57299489,89.84268084,1268938506.0
GRD,997007925.9,-0.5154480314,6.443143733,345,0,America,English,109603.0,9096.538652,7.428340961,12.32439773,40.62154266,108.3896654,153325880.4
GTM,62186186576.0,2.388720328,4.092170586,108889,0,America,Spanish,15567419.0,3994.636913,9.967003032,22.73751094,45.53583611,171.8265134,1203355080.0
GUY,4279840362.0,-1.001734328,0.6873980562,214970,0,America,English,767433.0,5576.82607,25.44308326,24.71867183,61.75463981,117.2699143,137700000.0
HND,20979767785.0,3.15783118,3.840079971,112088,0,America,Spanish,9112904.0,2302.204411,12.21597845,25.64997094,92.4748081,127.3988486,1316679827.0
HRV,49525747504.0,-0.4644990046,2.431888573,56538,0,Europe,Serbo-Croatian,4203604.0,11781.73479,3.010336887,21.37604776,67.63350719,100.1869237,52276286.8
HTI,14857386164.0,6.731840697,1.616915115,27750,0,America,French,10695540.0,1389.119779,17.24028523,25.97545776,30.72545837,265.9189468,105680000.0
HUN,125074286021.0,-0.06164468006,3.819428379,93032,1,Europe,Hungarian,9843028.0,12706.89121,3.792589888,26.40388802,152.3070857,100.8207672,-5266437315.0
IDN,860854235065.0,6.363121131,4.8763223,1933658,0,Asia,Indonesian,258383257.0,3331.695115,13.49264356,40.0478624,34.04304562,116.1478699,19779127977.0
IND,2103587817042.0,4.906973441,7.996253444,3287590,0,Asia,English,1310152392.0,1605.605445,16.17450811,27.34739148,31.4739416,104.2283051,44009492130.0
IRL,291499812215.0,-0.289879079,25.1625331,70285,0,Europe,English,4701957.0,62000.11881,0.8954320749,38.37551997,68.72142541,96.68188659,237060224929.0
IRN,384951479697.0,12.48468156,-1.32064512,1648100,0,Asia,Persian,78492208.0,4904.327315,10.48470358,32.96959372,29.92896666,139.2929122,2050000000.0
IRQ,177498577313.0,1.393330288,2.477664617,437072,0,Asia,Arabic,35572269.0,4688.318017,4.191868175,45.34028882,69.61152437,122.7965236,-7574200000.0
ISL,17389101639.0,1.633055582,4.748984972,102819,0,Europe,Icelandic,330815.0,52951.68151,5.31069137,20.23634735,57.26368356,94.6832755,1145767445.0
ISR,299813121135.0,-0.6343906511,2.290092133,21621,0,Asia,Hebrew,8380100.0,35813.71341,1.191712519,20.16533233,42.02550629,112.0266127,11336200000.0
ITA,1835899237320.0,0.03879039966,0.7783043507,301323,0,Europe,Italian,60730582.0,30230.2263,2.065236762,20.85638428,47.27432652,102.698258,13303439230.0
JAM,14187696311.0,3.691542289,0.9226821403,10991,0,America,English,2891024.0,4907.927415,6.308335899,19.26603791,44.09069167,85.65263977,924977863.7
JOR,38587017944.0,-0.8768513597,2.496528695,91862,0,Asia,Arabic,9266573.0,4164.108769,4.392268659,25.23280589,73.3614608,79.28900117,1600281690.0
JPN,4389475622589.0,0.7895178901,1.222921041,377801,0,Asia,Japanese,127141000.0,34524.46986,1.113905411,29.01962246,29.00205194,66.66666667,5252218412.0
