country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,area,landlocked,continent,langoff_1,population,gdp_per_capita,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows
AFG,20561069558.0,7.385771784,5.600744661,652225,1,Asia,Persian,32269592.0,637.165464,22.81066274,20.44460531,44.10762764,141.4616782,48311346.0
AGO,136709862831.0,8.777814293,4.954544646,1246700,0,Africa,Portuguese,26015786.0,5254.881126,6.50749254,53.36285398,69.18154846,250.0730995,-7120017424.0
ALB,12776217195.0,1.937620802,1.00198715,28748,0,Europe,Albanian,2895092.0,4413.060861,19.56517622,23.0613369,56.81650436,95.36762977,1254150556.0
ARE,390107556161.0,1.101118364,5.053345825,83657,0,Asia,Arabic,9197908.0,42412.6395,0.6437630438,55.00612581,165.2859551,178.9310193,9764914527.0
ARG,552025140252.0,10.62,2.405323781,2766889,0,America,Spanish,42202935.0,13080.25473,6.052918437,24.00588144,27.24604172,156.4980784,9821661858.0
ARM,11121465767.0,5.789667785,3.3,29800,1,Asia,Armenian,2897593.0,3838.17388,18.43476288,26.70904814,53.56308354,117.2178455,346092394.4
ATG,1181448148.0,1.059497824,-0.6008763967,442,0,America,English,91510.0,12910.59063,2.017298294,15.68226063,48.41515905,60.40094646,134288999.6
AUS,1576184467015.0,2.449888641,2.584897702,7686848,0,Pacific,English,23128129.0,68150.10704,2.278906495,25.12798549,31.41263033,176.8117884,53997299140.0
AUS,1576184467015.0,2.449888641,2.584897702,7686848,0,Pacific,English,23128129.0,68150.10704,2.278906495,25.12798549,31.41263033,176.8117884,53997299140.0
AUT,430068712972.0,2.000156169,0.0255047122,83858,1,Europe,German,8479823.0,50716.70871,1.254721216,25.52494179,83.34319358,87.99885103,451107665.2
AZE,74164435946.0,2.415717453,5.843415762,86600,1,Asia,Azeri,9416801.0,7875.756953,5.36626448,57.05441545,56.6632773,204.7015126,2619437000.0
BDI,2451625333.0,7.937958075,4.924195261,27834,1,Africa,French,9540302.0,256.9756471,38.3671082,15.58468197,36.91428732,134.2280884,116727136.5
BEL,521642714408.0,1.11309594,0.4592421929,33114,0,Europe,Dutch,11159407.0,46744.66254,0.6811749135,19.87919976,176.4496991,94.14823319,-29640924980.0
BEN,12517845732.0,0.4288888889,7.191433721,112622,0,Africa,French,10004594.0,1251.209707,25.27540464,17.24370929,39.87906823,121.3540647,360343380.3
BEN,12517845732.0,0.4288888889,7.191433721,112622,0,Africa,French,10004594.0,1251.209707,25.27540464,17.24370929,39.87906823,121.3540647,360343380.3
BFA,13444301139.0,0.5337385071,5.792584845,274200,1,Africa,French,17072791.0,787.4694383,23.64109279,24.09575158,49.99144195,128.3841555,490403410.5
BGD,149990451022.0,7.530406409,6.013605658,143998,0,Asia,Bengali,152761413.0,981.8608514,15.493278,26.30707016,44.13547632,61.95916945,2602962095.0
BGR,55615397666.0,0.8900935409,0.3257694362,110994,0,Europe,Bulgarian,7265115.0,7655.129708,4.482073971,23.21080449,114.8638735,106.6868538,1989040000.0
BHR,32539468085.0,3.300011569,5.41683981,678,0,Asia,Arabic,1315029.0,24744.29696,0.2747890451,47.94537566,98.1177686,134.710081,3727712766.0
BHS,10568400000.0,1.034670351,-2.678979525,13939,0,America,English,367162.0,28784.02449,0.9197229477,12.82597176,38.99360357,77.82097757,382252000.0
BIH,18178503835.0,-0.09304568383,2.349856663,51233,0,Europe,Serbo-Croatian,3542598.0,5131.404646,6.841390006,22.32367869,87.91702631,99.07157657,313295008.3
BLR,75527984234.0,18.31226104,1.003470841,207595,0,Europe,Belarussian,9465997.0,7978.872615,6.809122268,35.90385104,106.2202319,116.9938253,2246100000.0
BOL,30659338880.0,5.736400237,6.796011241,1098581,1,America,Spanish,10542375.0,2908.200371,9.966979477,28.5181929,68.47831937,153.9457727,1749612614.0
BOL,30659338880.0,5.736400237,6.796011241,1098581,1,America,Spanish,10542375.0,2908.200371,9.966979477,28.5181929,68.47831937,153.9457727,1749612614.0
BRA,2472806919902.0,6.204310666,3.004846305,8511920,0,America,Portuguese,201035904.0,12300.32482,4.506904938,21.22482871,19.92027748,123.774555,75211029129.0
BRA,2472806919902.0,6.204310666,3.004846305,8511920,0,America,Portuguese,201035904.0,12300.32482,4.506904938,21.22482871,19.92027748,123.774555,75211029129.0
BRN,18093829923.0,0.3892050531,-2.126028517,5765,0,Asia,Malay,404414.0,44740.85942,0.6846592164,70.02517779,83.22726622,232.2713891,775641999.1
BTN,1756215665.0,7.006666667,2.119972633,46620,1,Asia,Burmese,710235.0,2472.724753,14.09121578,43.36691194,82.73471356,118.9365529,20433631.07
BWA,14901750991.0,5.884607071,11.34339697,600372,1,Africa,English,2062551.0,7224.912737,2.29859284,31.48264728,109.1348259,81.95856791,67136806.16
CAF,1691544192.0,6.98879342,-36.3919771,622984,1,Africa,French,4447945.0,380.2978928,32.25890625,24.19130699,19.44968493,75.14970891,1852792.612
CAN,1847208522155.0,0.9382918978,2.329122506,9976139,0,America,English,35082954.0,52635.17496,1.894231512,26.61323518,50.58465852,116.0515976,67027866778.0
CAN,1847208522155.0,0.9382918978,2.329122506,9976139,0,America,English,35082954.0,52635.17496,1.894231512,26.61323518,50.58465852,116.0515976,67027866778.0
CHE,688504173431.0,-0.2173231551,1.852039816,41288,1,Europe,German,8089346.0,88109.48675,0.6564793926,24.95949281,95.3157191,101.5339843,-24926465857.0
CHL,278384345259.0,1.78955554,4.045004298,756945,0,America,Spanish,17571511.0,15842.93648,3.381868051,31.1937573,56.08181987,196.4245918,22210440993.0
CHN,9570406235660.0,2.621050017,7.766150098,9572378,0,Asia,Chinese,1357380000.0,7050.646271,8.942893962,44.17670454,43.45682824,80.64771598,290928431467.0
CIV,31273074528.0,2.581170373,8.889421302,322463,0,Africa,French,22087506.0,1415.871694,20.97862591,25.95105232,78.44447778,144.5788389,407592122.1
