country_iso3,landlocked,continent,area,gdp_per_capita,net_barter_of_trade,gdp_growth,inflation_rate,agriculture_forestry_fishing_of_gdp,merchandise_of_gdp,foreign_direct_investment_inflows,gdp_us_dollar,industry_of_gdp,population,langoff_1
COM,0,Africa,1862,1242.585682,137.3650485,1.116140583,0.94,30.59862821,23.91231077,4936699.51,966029542.0,10.40840816,777435.0,Arabic
CRI,0,America,51076,11642.77805,99.90114876,3.631731442,0.8019820051,4.749110429,45.52467575,2955521681.0,54775994479.0,19.96787847,4847805.0,Spanish
CYP,0,Europe,9251,23408.33668,92.45742353,3.21856901,-2.096997691,1.874271799,51.99974681,28960532080.0,19842404305.0,10.20230476,1160987.0,Greek
CZE,1,Europe,78864,17829.69832,103.937475,5.388380838,0.3093645485,2.211213873,159.1432992,1699914617.0,188033050460.0,33.7818228,10546059.0,Czech
DEU,0,Europe,357325,41086.72967,99.77576049,1.491931528,0.5144205395,0.6846915914,70.83346372,62422464519.0,3356235704120.0,27.10978858,81686611.0,German
DMA,0,America,751,7597.288894,104.7550973,-2.691108924,-0.8438269846,14.05557572,45.12359674,11051185.73,540737037.0,12.53364749,71175.0,English
DNK,0,Europe,43094,53254.85637,100.8986677,2.342591108,0.4520341537,0.9575802013,59.82692794,1850770715.0,302673070847.0,19.98745459,5683483.0,Danish
DOM,0,America,48734,6921.520594,109.3756591,6.927018774,0.8367463467,5.484695931,37.02531399,2227300000.0,71164825258.0,28.49636818,10281675.0,Spanish
DZA,0,Africa,2381741,4177.886892,188.3084621,3.7,4.784447007,11.57871468,52.03664889,-537792920.9,166361491141.0,35.72609326,39728020.0,Arabic
ECU,0,America,275716,6124.490887,118.9225335,0.09887260835,3.966646233,9.454851422,40.13379705,1322701337.0,99290381000.0,31.87212767,16212022.0,Spanish
EGY,0,Africa,1001449,3562.932658,144.8927869,4.372019079,10.37049034,11.39406277,25.78373338,6925200000.0,329366576819.0,36.63020582,92442549.0,Arabic
ESP,0,Europe,505954,25732.01836,92.3405577,3.83517266,-0.5004613214,2.735363172,49.71261153,23037070821.0,1195119269972.0,20.08695329,46444832.0,Spanish
EST,0,Europe,45227,17522.23019,94.12890382,1.844886677,-0.4923260065,2.837301029,118.6913147,-715465129.9,23048864243.0,23.69006384,1315407.0,Estonian
ETH,1,Africa,1127127,640.5419231,139.9125262,10.39246302,9.56889956,36.05697539,30.37033901,2626517918.0,64589334979.0,16.29779364,100835453.0,Amharic
FIN,0,Europe,336593,42784.69836,92.70763578,0.5436592118,-0.2079288399,2.25370769,51.2911442,16849216580.0,234440080998.0,23.3058164,5479531.0,Swedish
FJI,0,Pacific,18333,5390.714207,108.961394,4.502018108,1.374885426,7.871624085,63.55515678,205373209.1,4682546881.0,15.17127027,868632.0,English
FRA,0,Europe,547026,36638.18493,91.16919633,1.112912341,0.03751438051,1.605644387,44.17268936,42825414106.0,2438207896252.0,17.67969171,66548272.0,French
GAB,0,Africa,267667,7384.700704,143.9722072,3.878899395,-0.3387951888,4.311629044,57.59534146,41707702.33,14383107714.0,48.1836273,1947690.0,French
GBR,0,Europe,244110,45039.23595,96.79833371,2.355524306,0.3680468423,0.6474648124,37.36561298,45333483122.0,2928591002003.0,18.41990247,65116219.0,English
GEO,0,Asia,69700,4014.185944,137.5521703,3.02220738,4.003578207,7.813761603,63.55511183,1735285392.0,14953950557.0,19.15249742,3725276.0,Georgian
GHA,0,Africa,238538,1705.575082,178.2055095,2.178206744,17.1499695,20.78519837,50.0769421,3192320531.0,48564863888.0,32.13687984,27849203.0,English
GIN,0,Africa,245857,769.2554754,99.46276203,3.81494989,10.82068212,18.47824205,45.1774908,53272458.42,8794202444.0,26.32463978,11432096.0,French
GMB,0,Africa,11295,660.7235712,104.0943992,4.058073804,6.808454946,22.20888602,38.81940064,-1692732.888,1378176868.0,17.14345306,2085860.0,English
GNB,0,Africa,36125,603.3993815,93.10422561,6.134082941,1.476720489,46.78812527,43.78811542,18575499.45,1048229629.0,12.25397134,1737207.0,Portuguese
GNQ,0,Africa,28051,11283.39805,142.0181458,-9.110041149,1.676630853,1.888390876,76.03050602,233325072.8,13185496836.0,59.10058727,1168575.0,Spanish
GRC,0,Europe,131621,18050.09761,89.84268084,-0.4378338258,-1.736036796,3.870379016,38.57299489,1268938506.0,196591353872.0,14.51791441,10820883.0,Greek
GRD,0,America,345,9096.538652,108.3896654,6.443143733,-0.5154480314,7.428340961,40.62154266,153325880.4,997007925.9,12.32439773,109603.0,English
GTM,0,America,108889,3994.636913,171.8265134,4.092170586,2.388720328,9.967003032,45.53583611,1203355080.0,62186186576.0,22.73751094,15567419.0,Spanish
GUY,0,America,214970,5576.82607,117.2699143,0.6873980562,-1.001734328,25.44308326,61.75463981,137700000.0,4279840362.0,24.71867183,767433.0,English
