country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,area,landlocked,continent,langoff_1,population,gdp_per_capita,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows
AFG,17804292964.0,11.8041858089129,0.4263547929,652225,1,Asia,Persian,30117411,591.162798293135,23.7436639877543,22.7402524820273,38.7041485662647,144.7518695,52173421.0
AGO,111789686464.0,13.4824679218512,3.471976345,1246700,0,Africa,Portuguese,24220660,4615.46821863819,5.84568096888111,56.026514743024,78.3059714796182,244.3291519,-3023770965.83688
ALB,12890765324.0,3.42912324722164,2.545321845,28748,0,Europe,Albanian,2905195,4437.14288515077,18.2267654155688,24.484407516121,56.8624113125754,94.33720177,1048706682.05458
ARE,350666031314.0,0.877346595685083,6.930271629,83657,0,Asia,Arabic,8946778,39194.672239975,0.671910149003627,58.0355992952437,151.702461172787,176.1497815,7152095825.6
ARG,530163281575.0,9.8,6.003951693,2766889,0,America,Spanish,41261490,12848.8641969705,6.99873377022519,25.2126976058843,29.8719291780486,160.564925,10839930944.6815
ARM,10142111334.0,7.6500080785929,4.699999999,29800,1,Asia,Armenian,2876536,3525.80719813557,17.5,27.5,54.0222821392664,128.2433543,653219756.47225
ATG,1137637037.0,3.45674967234602,-1.958612628,442,0,America,English,89250,12746.6334682021,1.93318183889934,14.5307687799923,42.7201281408508,68.37541426,65160596.2962963
AUS,1396649906339.0,3.30385015608744,2.462756312,7686848,0,Pacific,English,22340024,62517.8337471503,2.27654236627696,26.4361276332007,36.9050252078536,200.2885825,65554890649.5348
AUT,431120310089.0,3.28657914875376,2.922797284,83858,1,Europe,German,8391643,51374.9584066934,1.40191493427276,25.4474320432043,85.5550043383505,88.72963314,22983942931.9264
AZE,65951627200.0,7.85833333333332,-1.572997621,86600,1,Asia,Azeri,9173082,7189.69122920765,5.07622595138436,61.7339963903076,67.7178136400292,199.3036857,4485120000.0
BDI,2235820868.0,9.59216605979671,4.032602496,27834,1,Africa,French,8958406,249.577972769836,36.7045760044036,14.8096813161324,39.1355155379094,164.5119637,3354999.1805922
BEL,522645519184.0,3.53208210722744,1.694513899,33114,0,Europe,Dutch,11038264,47348.5250202016,0.648034219951815,20.7778964049581,180.354554932841,94.86824368,163624381384.585
BEN,10693321954.0,2.70423907747279,2.963752919,112622,0,Africa,French,9460829,1130.27318959427,25.7970008253273,18.1374491115974,33.0954235595754,137.2188236,161302390.821902
BFA,12080296644.0,2.7597672485453,6.622562613,274200,1,Africa,French,16081915,751.172770411005,23.043650452489,28.3722709055706,39.7755133137476,139.8371615,143845512.327138
BGD,128637938711.0,11.3951651552399,6.464379123,143998,0,Asia,Bengali,149273134,861.762162181077,16.8099867573503,25.0452996007551,47.1501647240183,57.47437649,1264725163.33408
BGR,57386216850.0,4.21990346601875,2.354556923,110994,0,Europe,Bulgarian,7348328,7809.42506245471,4.64163500145713,25.0746261038118,105.931360066023,106.992395,2103810000.0
BHR,28776595745.0,-0.400040697488052,1.983515012,678,0,Asia,Arabic,1278153,22514.202716483,0.290850277264325,49.5171903881701,112.521996303142,138.7356468,780851063.829787
BHS,10070450000.0,3.19878141660321,0.6133841584,13939,0,America,English,359583,28005.9124040903,1.09230471329484,12.0451419747876,37.7341628229126,86.37412316,666621000.0
BIH,18644723861.0,3.67124999999999,0.9595112472,51233,0,Europe,Serbo-Croatian,3661173,5092.55472521264,6.75774577677582,22.1932593254568,90.6476283908872,101.9771048,471610992.220788
BLR,61757788945.0,53.2286983118173,5.37870745,207595,0,Europe,Belarussian,9473172,6519.23019498892,8.00175755504565,36.0887890771209,141.161141759833,110.2279572,4002400000.0
