country_iso3,area,net_barter_of_trade,gdp_us_dollar,gdp_growth,langoff_1,landlocked,industry_of_gdp,population,gdp_per_capita,merchandise_of_gdp,agriculture_forestry_fishing_of_gdp,foreign_direct_investment_inflows,continent,inflation_rate
LCA,617,98.78521373,1999090407.0,3.48884866,English,0,10.97808353,180955.0,11047.44499,39.11779063,1.761089826,37684236.08,America,0.1184177258
LKA,65610,115.9619524,87428125558.0,3.578169679,Sinhala,0,26.77469863,21444000.0,4076.747003,36.993077,7.833028974,1372723043.0,Asia,7.704137679
LSO,30355,80.56307375,2405289384.0,-1.321685253,English,1,28.57984272,2091532.0,1102.94441,134.1226642,4.964821378,123091950.4,Africa,4.447699374
LTU,65300,98.65455398,47758736932.0,4.282596951,Lithuanian,0,25.89634329,2828403.0,16843.69965,130.4743798,3.50751155,1383731106.0,Europe,3.722888623
LUX,2586,72.82777185,64181944723.0,1.801180955,French,1,11.24396148,596336.0,107361.3069,60.34823604,0.2445849332,-6815331955.0,Europe,1.730799591
LVA,64589,105.5521248,30458763246.0,3.25072029,Latvian,0,19.04196847,1942248.0,15643.48563,102.5522754,3.552820952,1152510428.0,Europe,2.930363124
MAR,710850,111.2928518,109682728023.0,4.248949208,Arabic,0,26.15947585,35581257.0,3035.454433,63.60345084,12.36250582,2680109856.0,Africa,0.7546632493
MDA,33700,74.33987828,9669759987.0,4.69079339,Romanian,0,21.8746301,2755158.0,3509.69345,75.03805689,11.47225788,149520000.0,Europe,6.570229975
MDG,587041,74.14072862,13176313233.0,3.933316171,French,0,13.51391573,25570511.0,515.2933093,49.46755503,24.55013844,464856589.6,Africa,8.609050754
MDV,298,107.5643403,4754352301.0,7.210479788,Maldivian,0,11.24788036,496398.0,9577.702376,56.32733607,5.351363387,457808313.6,Asia,2.817473382
MEX,1967210,91.79148495,1158913035796.0,2.113129135,Spanish,0,30.94623498,124777326.0,9287.849587,72.62080708,3.381073882,33016832348.0,America,6.04145724
MKD,25713,94.49337295,11307058382.0,1.081772738,Macedonian,1,24.25894588,2081996.0,5432.414531,118.3968688,7.873245042,380738977.5,Europe,1.351618897
MLI,1240142,171.562567,15365627045.0,5.305456084,French,1,18.84708993,18512429.0,830.0215153,46.74042369,37.43243963,559362392.1,Africa,1.759857429
MLT,316,137.4413712,13146963159.0,8.015063134,English,0,12.05790712,467999.0,28250.69777,66.97526819,0.6815075872,3757935765.0,Europe,1.364354482
MMR,678500,97.41143432,68945867478.0,6.404977325,Burmese,0,36.74276972,53382521.0,1257.803576,49.34415859,23.0027856,4804272487.0,Asia,4.572536553
MNG,1565500,185.9697009,11425755280.0,5.337037933,Mongolian,1,38.35641547,3113788.0,3669.406934,92.23022673,10.27895232,1494350363.0,Asia,4.310762541
MOZ,801590,100.4227396,13219084261.0,3.741317593,Portuguese,0,24.01534396,28649007.0,461.4150941,79.20367094,25.04368115,2319071971.0,Africa,15.11320739
MRT,1030700,138.9969776,6758390729.0,3.497175006,Arabic,0,25.47882694,4282582.0,1577.86437,77.60457525,20.85649234,588217194.8,Africa,2.275034573
MUS,2045,118.9300271,13259351418.0,3.814152115,English,0,17.63556948,1264613.0,10484.90583,57.28788382,3.095793754,479995890.3,Africa,3.666997027
MWI,118484,117.4648103,6303292264.0,4.000030517,English,1,18.06297566,17670193.0,497.3104097,39.04378162,23.33315561,90200000.0,Africa,11.54339392
MYS,329758,106.0252197,319112136545.0,5.81272241,Malay,0,38.1146722,31104655.0,10259.30481,129.5930028,8.598277535,9368469823.0,Asia,3.871201158
NAM,825518,129.4017562,12741746524.0,-0.2562711483,English,0,26.07701853,2402623.0,5367.114673,91.32888812,7.676156221,280476975.0,Africa,6.145799811
NER,1267000,154.1802375,11189541083.0,4.999097165,French,1,21.07097079,21602388.0,517.9770442,28.22278391,35.7974708,338710710.1,Africa,2.796373189
NGA,923768,140.9469853,375746469539.0,0.8058866195,English,0,22.3151172,190873247.0,1968.565398,20.15747482,20.84657143,2412974916.0,Africa,16.52353998
NIC,130670,193.6894461,13785909906.0,4.630821552,Spanish,0,24.81685048,6384843.0,2159.161926,93.41421849,14.99665684,1035400000.0,America,3.850671663
NLD,41863,93.44233169,833869641687.0,2.910902513,Dutch,0,17.70313732,17131296.0,48554.99228,147.4749139,1.855594964,223200484756.0,Europe,1.381458714
NOR,323752,119.0225564,398393955269.0,2.323258407,Norwegian,0,29.79126547,5276968.0,75496.75406,45.75947943,1.97646282,5900604724.0,Europe,1.875100596
NPL,147181,80.46528148,25180583770.0,8.223499483,Nepali,1,12.86258589,27632682.0,1048.453755,38.26852548,23.69954846,196265098.6,Asia,3.627096107
NZL,268676,147.6389552,205415864858.0,3.163097542,English,0,20.41343935,4813600.0,42992.89527,37.78679537,5.903578884,2093698050.0,Pacific,1.850787675
OMN,212379,119.3701344,70598026283.0,0.3463220405,Arabic,0,49.87612116,4665926.0,15127.88819,84.06671367,2.27322728,2917295189.0,Asia,1.597160603
PAK,882872,52.5416544,304567253219.0,5.554277437,Urdu,0,17.8043074,207906210.0,1464.926195,26.04186733,22.92586789,2496000000.0,Asia,4.08537368
PAN,75648,169.8856847,62219000000.0,5.599006763,Spanish,0,29.35226284,4106764.0,15146.40237,53.09576594,2.38478394,3976868000.0,America,0.8755859188
PER,1285216,175.401591,211007207484.0,2.518835442,Spanish,0,31.29788412,31444299.0,6710.507602,40.42847684,6.77975956,6860492819.0,America,2.80283917
