source,target,weight
AGO,RUS,65.798
AGO,MYS,947.906
AGO,TUR,59.644
ALB,VCT,6.556
ALB,ZAF,3.446
ALB,ECU,19.974
ALB,GEO,32.492000000000004
ALB,VNM,1.993
ALB,NPL,0.516
ALB,TJK,32.41
ALB,COL,0.321
ALB,PHL,1.587
ALB,GAB,28.258
ALB,GTM,10.177
ALB,MRT,18.315
ALB,GHA,2.95
ALB,AFG,0.278
ALB,BGD,3.051
ALB,NGA,20.871
ALB,IRN,3.332
ALB,SGP,0.414
ALB,MEX,13.344
ALB,MYS,2.489
ALB,ARM,25.896
ALB,MDA,15.423
ALB,EST,20.607
ALB,COG,12.414
ALB,PER,12.113
ALB,MWI,3.963
ALB,SLE,9.127
ALB,AZE,5.497000000000001
ALB,FIN,24.928
ARE,BOL,732.1163032596602
ARE,PRY,901.221118237
ARE,LSO,38.81555871292
ARE,ATG,21.11308043614
ARE,HND,757.0810122781402
ARE,JAM,817.66658520866
ARE,BTN,6.300243269100001
ARE,MKD,770.23271717524
ARE,LCA,48.98251020607999
ARE,KNA,42.2794433622
ARE,LAO,488.49622292966
ARE,BHS,110.22077457754
ARE,TON,75.16799219182
ARE,DMA,0.17974671528
ARE,KIR,51.2826674811
ARE,GRD,30.9851919861
ARE,GUY,421.5287294218
ARE,PLW,88.49119329599999
ARG,VCT,607.9259999999999
ARG,SYC,536.742
ARG,TKM,155.483
ARG,MDV,815.0000000000001
ARG,PNG,147.9
ARG,ATG,518.042
ARG,BTN,13.693
ARG,GIN,725.905
ARG,TJK,42.167
ARG,MNG,376.33900000000006
ARG,KGZ,254.494
ARG,LCA,652.854
ARG,ZMB,449.433
ARG,FJI,718.555
ARG,GNB,228.245
ARG,MLT,748.403
ARG,AFG,165.171
ARG,BDI,9.95
ARG,BFA,828.219
ARG,RWA,62.88
ARG,GRD,335.806
ARG,GMB,665.0
ARM,TTO,0.002
ARM,ARG,0.2
ARM,IRL,4.425
ARM,ZAF,15.989
ARM,PAK,6.0
ARM,VNM,0.001
ARM,MOZ,7.6
ARM,MNG,0.221
ARM,PAN,5.75
ARM,DNK,3.503
ARM,CYP,14.79
ARM,NGA,0.08
ARM,YEM,15.862
ARM,BHR,22.14
ATG,QAT,0.241
ATG,MRT,0.222
ATG,GHA,0.304
ATG,ALB,0.407
AUS,SVK,1246.7760000000003
AUS,VCT,142.381
AUS,ISL,1525.444
AUS,TKM,920.385
AUS,SWZ,217.031
AUS,BOL,1975.88
AUS,HTI,524.418
AUS,HRV,1126.178
AUS,ETH,2153.9900000000007
AUS,PRY,1815.894
AUS,NIC,1037.144
AUS,LSO,9.238
AUS,ATG,1681.251
AUS,HND,1449.276
AUS,BTN,159.90699999999998
AUS,MKD,489.371
AUS,TJK,671.518
AUS,BIH,983.44
AUS,KGZ,1442.4019999999996
AUS,BEN,1483.585
AUS,TCD,2337.456
AUS,LCA,728.749
AUS,KNA,352.95
AUS,CAF,2.44
AUS,BLR,339.922
AUS,BDI,61.847
AUS,GNQ,76.905
AUS,STP,101.329
AUS,NER,172.202
AUS,DMA,130.124
AUS,MDA,1711.573
AUS,CMR,1299.535
AUS,COM,85.52000000000001
AUS,GMB,16.911
AUS,GUY,1428.4140000000002
AUS,PLW,595.5709999999999
AUT,VCT,42.2833445616
AUT,SWZ,3.85384000998
AUT,WSM,144.02365842948
AUT,MDG,1304.74794645255
AUT,HTI,1042.57793022573
AUT,NIC,1586.9494315665302
