source,target,weight
SVK,HUN,5822200.043419332
SVK,NOR,227741.8296438068
SVK,HRV,332887.5713345741
SVK,CZE,11421974.820973853
SVK,USA,1542465.2321528513
SVK,SVN,652532.2882292122
SVK,RUS,3410870.040875828
SVK,NLD,1987094.6684014688
SVK,UKR,740262.5598419245
SVK,SWE,1220948.7142370918
SVK,GRC,197025.0239218483
SVK,DNK,753773.3345769373
SVK,ESP,1587309.5053739825
SVK,GBR,3666513.986853611
SVK,BGR,484096.69319531496
SVK,CHN,2120496.955067165
SVK,ARE,196930.60517121025
SVK,POL,7035159.360429743
SVK,CHE,1388869.3319582825
SVK,AUT,5242031.289124952
SVK,CAN,200200.3480651469
SVK,DEU,17667751.654349998
SVK,ITA,3841435.218475008
SVK,FRA,4183035.4663609033
SVK,AUS,294972.95216277527
SVK,BEL,1335670.427960649
SVK,TUR,1325114.2777402676
SVK,FIN,216683.79977502703
SVK,LVA,200476.9093649203
ISL,NOR,233971.241
ISL,USA,235129.913
ISL,NLD,1497699.8079999995
ISL,ESP,196775.445
ISL,GBR,469406.177
ISL,DEU,604543.8269999999
ISL,FRA,231837.686
HUN,SVK,5239965.450000001
HUN,LTU,237322.446
HUN,IRL,199940.4400000001
HUN,ZAF,474695.996
HUN,PRT,272391.289
HUN,NOR,242513.32
HUN,HRV,1454548.9759999996
HUN,KAZ,209903.57900000003
HUN,DZA,213001.671
HUN,BRA,400575.60800000007
HUN,CZE,3908721.274
HUN,USA,3269504.8039999995
HUN,SVN,1193801.1879999998
HUN,RUS,3371607.589
HUN,NLD,2971125.735000001
HUN,UKR,2588358.496
HUN,BIH,410942.7619999999
HUN,IND,215865.879
HUN,SWE,1019194.2679999996
HUN,GRC,375490.5500000001
HUN,KOR,298562.9880000001
HUN,JPN,593718.8389999999
HUN,DNK,769648.591
HUN,ISR,356640.08199999994
HUN,ESP,2632293.737
HUN,GBR,4115511.458
HUN,BGR,963537.0569999998
HUN,SGP,284501.37200000003
HUN,CHN,1995411.723
HUN,MEX,545421.0119999999
HUN,ARE,1026019.028
HUN,POL,4063746.61
HUN,CHE,1066422.2049999996
HUN,AUT,5699009.338999999
HUN,CAN,309780.46800000005
HUN,DEU,27106023.891
HUN,EST,208788.63600000003
HUN,ITA,4966227.772000001
HUN,FRA,4650039.365000002
HUN,AUS,241083.24100000004
HUN,BEL,1593148.512
HUN,TUR,1888769.486
HUN,FIN,336966.938
TTO,ARG,565051.908
TTO,CRI,277898.50000000006
TTO,BRA,679254.942
TTO,USA,6556182.643000001
TTO,ATG,289309.925
TTO,JAM,829902.6190000001
TTO,NLD,670067.4439999999
TTO,COL,942271.269
TTO,SUR,386855.78
TTO,DOM,299725.376
TTO,ESP,512600.829
TTO,BHS,199875.8
TTO,FRA,306628.684
TTO,CHL,372953.834
TTO,GUY,351839.607
KWT,PAK,221666.528
KWT,USA,204362.17699999985
KWT,IRQ,576949.6590000002
KWT,IND,722365.7000000008
KWT,CHN,1035789.332
KWT,SAU,709550.905
KWT,ARE,859913.7649999999
KWT,TUR,297131.267
LTU,NOR,692161.0079999997
LTU,KAZ,586092.6060000001
LTU,CZE,249304.03599999988
LTU,USA,909849.073
LTU,RUS,6466720.977999999
LTU,NLD,1416799.4160000002
LTU,UKR,1128451.302
LTU,SWE,1041987.3689999996
LTU,DNK,643618.7050000002
LTU,ESP,237184.48100000003
LTU,IRN,289946.951
LTU,BLR,1693370.9980000004
LTU,GBR,1578935.6339999998
LTU,SGP,661413.883
LTU,SAU,198798.056
LTU,POL,2366516.769
LTU,DEU,2278843.0730000003
LTU,EST,1762461.246
LTU,ITA,544562.078
LTU,FRA,746990.4049999999
LTU,BEL,392360.2180000001
LTU,FIN,429065.965
LTU,LVA,3071191.764
ARG,IRL,252821.24
ARG,ZAF,684641.4500000001
ARG,JOR,245126.413
ARG,BOL,792756.066
ARG,ECU,346766.3489999999
ARG,VNM,1185097.961
ARG,DZA,1563986.3990000004
ARG,BRA,15948567.217
ARG,URY,1752475.3129999998
ARG,PRY,1298491.782
ARG,TUN,206698.38600000003
ARG,USA,4182013.083
ARG,RUS,725826.7260000003
ARG,NLD,1912939.110999999
ARG,COL,1530499.4750000006
ARG,PHL,419193.5280000001
ARG,IND,1089093.6999999995
ARG,KOR,1002337.636
ARG,JPN,1391712.8660000002
ARG,DNK,277157.98800000007
ARG,ISR,199466.19200000004
ARG,DOM,258090.247
ARG,MAR,484524.59200000006
ARG,BGD,309840.534
ARG,ESP,1669438.098
ARG,IRN,1102958.167
ARG,GBR,645878.2429999998
ARG,CHN,5511528.278
ARG,MEX,970140.4820000004
ARG,SAU,1163010.8320000002
ARG,ARE,256386.913
ARG,YEM,204469.73799999992
ARG,MYS,962613.84
ARG,POL,620521.7770000001
ARG,CHE,561166.1630000001
ARG,CAN,1702893.0599999994
ARG,DEU,1637127.7190000005
ARG,ITA,1080824.6799999997
ARG,PER,1420950.9149999996
ARG,THA,924545.4969999996
ARG,FRA,431150.9480000001
ARG,AUS,736644.0129999997
ARG,BEL,300340.27
ARG,IDN,1469188.7670000002
ARG,CHL,3822876.0340000014
ARG,TUR,451429.5860000002
ARG,EGY,1254549.887
IRL,HUN,346774.6096963199
IRL,ZAF,337528.3050979201
IRL,PRT,428899.30605408014
IRL,NOR,457422.01089456
IRL,BRA,345120.83002176
IRL,CZE,605618.0758032002
IRL,USA,25130890.8659832
IRL,RUS,845886.2308463999
IRL,NLD,5369762.717890076
IRL,IND,581538.75813408
IRL,SWE,1199431.3446638405
IRL,GRC,360591.7609968
IRL,KOR,424142.22077232
IRL,JPN,2236549.78311168
IRL,DNK,677708.91118368
IRL,ISR,644000.13069408
IRL,NGA,429316.4585313601
IRL,ESP,3894920.4153724816
IRL,GBR,16580220.6198144
IRL,SGP,742800.1162488001
IRL,CHN,1880016.54703488
IRL,MEX,918538.10491776
IRL,SAU,856087.3350590398
IRL,ARE,383560.23486144
IRL,MYS,262353.03062304
IRL,POL,1073883.70026384
IRL,CHE,6791393.603557924
IRL,AUT,587802.2106119998
IRL,CAN,1020231.0088948804
IRL,DEU,9022310.807535363
IRL,ITA,3028943.30610192
IRL,FRA,5526747.382210559
IRL,AUS,940230.14530176
IRL,BEL,14891847.44949744
IRL,TUR,723521.7197822395
IRL,FIN,457871.6275867201
ZAF,ARG,255086.6405599341
ZAF,SWZ,1514658.1993357812
ZAF,NOR,256719.0307999539
ZAF,PAK,316753.7750380785
ZAF,DZA,370872.7277291375
ZAF,BRA,657206.9494193229
ZAF,MOZ,2825907.7579591284
ZAF,LSO,1408930.2389161289
ZAF,USA,6883530.766392756
ZAF,RUS,403094.29416942457
ZAF,NLD,3051232.31525168
ZAF,IND,3001917.3226496554
ZAF,SWE,238087.81089620767
ZAF,ZMB,2707161.892636784
ZAF,KOR,1262964.0933565134
ZAF,JPN,5571897.540928514
ZAF,GHA,397970.87900754
ZAF,ISR,582981.1713274032
ZAF,NAM,4232114.69899449
ZAF,NGA,807038.6613230909
ZAF,ESP,820071.6177060261
ZAF,GBR,3290529.958939374
ZAF,MUS,305270.4090360676
ZAF,SGP,982571.268110075
ZAF,CHN,12046290.736127162
ZAF,BWA,4600120.038943812
ZAF,MEX,229697.7112916685
ZAF,SAU,274788.92312683625
ZAF,ARE,1206509.906865172
ZAF,MYS,669654.3260707057
ZAF,AGO,1003340.5751961878
ZAF,CHE,2125414.777581734
ZAF,ZWE,2395887.673041015
ZAF,CAN,312872.8769969269
ZAF,KEN,802172.4280028454
ZAF,DEU,3812864.851207112
ZAF,ITA,1086650.2782764833
ZAF,THA,470820.064593857
ZAF,MWI,512689.3496517601
ZAF,FRA,1005217.5768597468
ZAF,AUS,809529.1429700186
ZAF,BEL,1963225.9259646744
ZAF,TZA,511616.2554947573
ZAF,IDN,502904.7646613992
ZAF,TUR,638026.0006557825
ZAF,FIN,396970.42351383984
ZAF,GUY,196612.91379092133
LUX,USA,470541.9259999997
LUX,RUS,203219.078
LUX,NLD,715138.6189999998
LUX,SWE,201339.9180000001
LUX,ESP,274785.58200000017
LUX,GBR,469261.0010000001
LUX,CHN,215778.319
LUX,POL,315617.3279999999
LUX,AUT,215020.9180000001
LUX,DEU,3790839.036
LUX,ITA,468081.98799999984
LUX,FRA,1995955.031
LUX,BEL,1804918.251
SWZ,ZAF,1015008.614210943
MDG,FRA,412106.9149999999
CRI,NIC,498343.7359999997
CRI,USA,4390841.833999999
CRI,HND,322830.29799999995
CRI,SLV,311687.81799999985
CRI,NLD,829672.372
CRI,PAN,580113.8529999997
CRI,GTM,450997.77
CRI,DOM,246165.67300000004
CRI,GBR,231089.126
CRI,CHN,377803.764
CRI,MEX,255321.1070000001
CRI,MYS,291245.037
CRI,BEL,309594.55000000005
PRT,HUN,240445.34000000003
PRT,IRL,204503.104
PRT,ZAF,213591.2770000001
PRT,DZA,700142.0829999996
PRT,BRA,980965.4260000002
PRT,MOZ,435094.9810000001
PRT,TUN,220628.3239999998
PRT,CZE,378996.07
PRT,USA,2652012.271
PRT,RUS,349197.16000000003
PRT,NLD,2511604.602999999
PRT,SWE,584930.5109999999
PRT,GRC,255805.022
PRT,DNK,418132.128
PRT,MAR,972537.9020000004
PRT,ESP,14837313.109
PRT,GBR,3468130.754999999
PRT,CHN,872827.1269999996
PRT,MEX,260800.28200000004
PRT,SAU,201269.32799999995
PRT,AGO,4131945.579
PRT,POL,584255.1280000001
PRT,CHE,556708.0119999998
PRT,AUT,341180.9380000001
PRT,CAN,282939.91699999984
PRT,DEU,7312201.473999998
PRT,ITA,2077298.9210000008
PRT,FRA,7296842.670000003
PRT,BEL,1783136.9439999992
PRT,TUR,505933.8219999997
PRT,FIN,287699.23000000004
NOR,ISL,636387.3280000001
NOR,LTU,411594.0030000001
NOR,IRL,1562979.5610000002
NOR,ZAF,213428.22500000003
NOR,PRT,484115.977
NOR,VNM,248334.67700000005
NOR,BRA,730529.9950000001
NOR,CZE,202846.34800000003
NOR,USA,6619291.794
NOR,RUS,1417892.8179999995
NOR,NLD,16543638.527
NOR,UKR,267339.187
NOR,IND,213683.935
NOR,SWE,8501298.947999999
NOR,KOR,2491830.442
NOR,JPN,1217127.4499999995
NOR,DNK,5626031.372
NOR,NGA,589205.71
NOR,ESP,1731532.136
NOR,GBR,36571978.06600001
NOR,SGP,1688477.95
NOR,CHN,2570365.319999999
NOR,ARE,318019.238
NOR,MYS,310132.667
NOR,AGO,377753.016
NOR,POL,2583523.7090000003
NOR,CHE,493508.304
NOR,AUT,245751.86599999992
NOR,CAN,1348293.1850000003
NOR,DEU,26075708.662
NOR,ITA,1209257.831
NOR,FRA,11343866.882
NOR,AUS,276128.61100000003
NOR,BEL,7931179.007000001
NOR,TUR,798470.329
NOR,FIN,1500770.8500000003
JOR,USA,1205418.654
JOR,IRQ,1389551.467
JOR,IND,485370.734
JOR,SAU,963266.8940000002
JOR,ARE,316293.16899999994
JOR,IDN,228767.035
BOL,ARG,2523335.35331
BOL,BRA,4043001.35032
BOL,USA,1249919.97592
BOL,COL,651241.86641
BOL,KOR,405066.21579
BOL,JPN,417710.86435
BOL,CHN,324726.83290000004
BOL,PER,660858.2684000002
BOL,BEL,245905.49017
ECU,VNM,323775.093
ECU,USA,11111468.704999998
ECU,RUS,809170.002
ECU,NLD,429132.856
ECU,COL,921515.7739999996
ECU,JPN,570108.0419999999
ECU,PAN,628318.3310000002
ECU,ESP,780979.634
ECU,CHN,567941.879
ECU,DEU,412520.999
ECU,ITA,416773.02100000007
ECU,PER,1882587.739
ECU,FRA,317275.3139999999
ECU,BEL,231306.825
ECU,CHL,2461512.538
ECU,TUR,222909.218
PAK,ZAF,289169.91299999994
PAK,VNM,262559.04500000004
