source,target,weight
LAO,POL,11879.931
LAO,SGP,17886.829999999994
LAO,USA,22611.018
LAO,GTM,49.307
LAO,IND,161762.15199999997
LAO,ESP,1657.06
LAO,PRT,11268.372000000001
LAO,GRC,86.794
LAO,NIC,64.67
LAO,SVN,86.06700000000001
LAO,SUD,512.74
LAO,TUR,2511.185
LAO,IRN,57.012
LAO,VNM,722769.1147000003
LAO,SER,7.785
LAO,HKG,22974.591
LAO,CAN,8608.08
LAO,THA,2363288.0781099997
LAO,DEU,60913.409000000014
LAO,ARE,27138.74
LAO,AUS,1553.7040000000002
LAO,CHE,23809.581000000002
LAO,EST,237.6
LAO,AUT,628.962
LAO,MUS,19.557000000000002
LAO,MDG,1008.0
LAO,FRA,8857.313999999995
LAO,MMR,239.96555000000004
LAO,BLZ,36.52
LAO,UKR,0.83
LAO,BIH,14.798
LAO,HRV,177.737
LAO,PNG,6.5
LAO,RWA,4.5
LAO,PAN,121.879
LAO,ISL,921.525
LAO,PRK,90.634
LAO,KHM,15585.267600000001
LAO,MYS,7544.004
LAO,ISR,10.352
LAO,QAT,0.773
LAO,TMP,34.615
LAO,ZAF,28.863
LAO,OAS,2994.483
LAO,CRI,56.64
LAO,ITA,13866.469
LAO,PER,3.7
LAO,LUX,2.5
LAO,PAK,21.224999999999998
LAO,CUW,153.62700000000004
LAO,BGR,200.024
LAO,CHN,1239830.9160000002
LAO,BGD,21.456
LAO,WLD,4909733.654960001
LAO,MEX,51.576
LAO,LBY,224.4
LAO,ARG,77.986
LAO,NZL,33.543
LAO,SWE,21732.747000000003
LAO,MNG,3.0
LAO,YEM,218.033
LAO,PHL,283.322
LAO,IRL,161.551
LAO,MDV,83.867
LAO,SWZ,52.622
LAO,CAF,78.04599999999999
LAO,SLE,189.898
LAO,KWT,17.372
LAO,BEL,12540.865
LAO,DNK,9402.868
LAO,URY,559.394
LAO,JPN,70780.273
LAO,RUS,154.26500000000001
LAO,GBR,21033.536000000004
LAO,CHL,27.782
LAO,KOR,9611.445999999998
LAO,BRN,6.888
LAO,JAM,216.81900000000002
LAO,UNS,11.875
LAO,SAU,4.333
LAO,NLD,7066.869
LAO,IDN,696.3489999999999
LAO,TTO,75.0
LAO,NOR,29.273
LAO,OMN,90.4
POL,LAO,4208.789
POL,SGP,241650.21600000004
POL,BEN,27463.533
POL,USA,6138216.395999998
POL,FIN,1735636.4159999997
POL,BWA,1308.1249999999998
POL,GUY,2348.6430000000005
POL,LKA,47957.78600000001
POL,ZMB,4429.671
POL,AGO,21095.215
POL,GTM,13031.451000000001
POL,IND,736162.6080000002
POL,GMB,7678.388999999999
POL,ATA,418.2650000000002
POL,MAC,22615.197999999997
POL,SEN,84499.06499999997
POL,MRT,16524.771
POL,ESP,6074261.926
POL,ZAR,19470.328
POL,HUN,5800798.030999998
POL,IRQ,94181.983
POL,PRT,954512.1549999997
POL,HTI,16736.044
POL,CIV,31562.816999999992
POL,FLK,0.121
POL,GUM,115.291
POL,GRC,878322.9349999998
POL,BRB,19987.309999999998
POL,NER,5567.365000000001
POL,DOM,14148.595000000003
POL,KIR,0.029
POL,NIC,1654.11
POL,VUT,176.722
POL,AFG,7859.091999999999
POL,DZA,360362.451
POL,SVN,863497.3469999994
POL,ERI,289.5110000000001
POL,VEN,23695.777
POL,GHA,50384.76999999999
POL,SUD,23793.417999999998
POL,ETH,21546.915000000008
POL,TZA,81264.479
POL,COL,70532.00199999998
POL,TUR,3271239.1150000007
POL,SLB,151.06799999999998
POL,IRN,135982.90200000003
POL,AND,3183.066
POL,AIA,3600.925
POL,KEN,56544.867
POL,BTN,2.8219999999999996
POL,VGB,5427.320000000001
POL,MSR,0.283
POL,TCA,0.262
POL,VCT,2509.127
POL,VNM,276454.738
POL,STP,144.98499999999999
POL,SER,972820.0109999998
POL,ESH,2.352
POL,LVA,1399804.3330000003
POL,SMR,28513.363000000005
POL,SXM,887.2429999999999
POL,HKG,446867.96100000007
POL,WSM,12.729999999999999
POL,ATG,169789.19400000002
POL,HND,5270.5599999999995
POL,COG,23982.606999999993
POL,CYP,154019.078
POL,CAN,1294766.5609999998
POL,BLM,16.262
POL,SOM,3111.8450000000003
POL,THA,265411.63999999984
POL,CUB,42507.443
POL,DEU,60209643.52299999
POL,PRY,13482.464999999998
POL,ROM,4084850.041
POL,SPE,14060.329999999998
POL,ARE,549554.9039999999
POL,AUS,714152.2529999998
POL,MLT,46571.570999999996
POL,CHE,2174679.0930000003
POL,EST,1234451.859000001
POL,AUT,4225042.2469999995
POL,LTU,3041075.7289999994
POL,MUS,9169.928999999998
POL,MDG,3302.2110000000002
POL,MNT,52090.592000000004
POL,ASM,34.826
POL,CZE,14051780.541000005
POL,FRA,12342547.879000008
POL,MMR,8857.096
POL,LSO,0.528
POL,BLZ,2158.26
POL,UKR,4609849.198000002
POL,BHS,304914.9150000001
POL,SLV,3152.6569999999997
POL,FSM,0.881
POL,ALB,58014.163
POL,UGA,15763.746
POL,BIH,274034.25800000003
POL,SUR,6201.786999999999
POL,HRV,769487.2580000001
POL,SVK,5471194.500999999
POL,PNG,755.6399999999999
POL,COK,1791.439
POL,TUN,138419.50000000003
POL,RWA,1365.1730000000002
POL,PAN,45767.842
POL,ISL,172597.26799999998
POL,MHL,6346.982
POL,PRK,30.373999999999995
POL,KHM,29339.060999999998
POL,SYR,18363.85
POL,ECU,21110.624999999996
POL,GIN,28879.164999999994
POL,MYS,139190.504
POL,BLR,1481965.6550000007
POL,MLI,19632.121
POL,DJI,5925.790000000002
POL,MOZ,44085.203
POL,GAB,12642.278000000004
POL,KGZ,22660.541
POL,TON,0.233
POL,ISR,607360.0650000001
POL,LBR,34143.054
POL,QAT,78874.834
POL,TKM,38009.99199999999
POL,NGA,114812.68599999999
POL,PSE,12389.581000000002
POL,TMP,46.212
POL,ZAF,639678.6510000001
POL,LCA,238.183
POL,OAS,173894.883
POL,ARM,44008.48200000001
POL,MDA,195229.62300000005
POL,BHR,49045.85399999999
POL,UZB,78506.35500000003
POL,SSD,41.662
POL,ZWE,5422.192000000001
POL,CRI,14363.511000000006
POL,UMI,70.233
POL,GIB,62744.69700000001
POL,ATF,1118.736
POL,ITA,10856011.127999999
POL,PER,64615.363
POL,LUX,349470.216
POL,BUN,4336.568000000001
POL,PAK,115184.01
POL,CUW,1538.029
POL,BDI,151.20100000000005
POL,BGR,1084813.839
POL,CHN,2304750.878000001
POL,KAZ,477731.5429999999
POL,BGD,46686.075000000004
POL,WLD,221028966.2630001
POL,BRA,409039.67399999994
POL,MEX,675489.5250000001
POL,PYF,1196.334
POL,EGY,276320.14999999985
POL,LBY,28961.205
POL,TCD,5369.548000000001
POL,ARG,163048.73100000003
POL,GRL,45431.305
POL,CYM,9491.043
POL,NZL,148320.3
POL,DMA,1171.056
POL,SWE,6038310.277000001
POL,TUV,50.552
POL,MNG,48954.44299999999
POL,CMR,14930.934000000005
POL,YEM,12572.011
POL,PHL,60398.977
POL,IRL,876218.024
POL,GEO,140499.221
POL,KNA,46.917
POL,MDV,7553.701000000001
POL,SPM,4.459
POL,FJI,256.943
POL,GNB,2907.329
POL,SWZ,0.709
POL,CAF,528.097
POL,SLE,5337.357999999999
POL,KWT,83446.22200000001
POL,BEL,4798334.16
POL,DNK,3942256.9900000007
POL,MWI,1709.6440000000002
POL,URY,20370.084999999995
POL,JPN,557799.4570000002
POL,BOL,9715.312
POL,SYC,2660.3879999999995
POL,RUS,6945277.890999998
POL,MAR,255576.10600000003
POL,BES,425.1460000000001
POL,JOR,76481.49200000001
POL,ABW,1145.503
POL,NAM,3286.7160000000003
POL,GBR,14071232.307999998
POL,GRD,32.028000000000006
POL,CHL,118165.05799999998
POL,NCL,4428.036
POL,MKD,139351.45299999998
POL,TJK,10793.841999999999
POL,PLW,0.238
POL,GNQ,4193.382
POL,KOR,544003.4480000001
POL,CPV,1627.6909999999993
POL,NPL,5105.819000000001
POL,BRN,1783.843
POL,TGO,19567.647
POL,JAM,3379.15
POL,UNS,77492.74000000002
POL,SAU,653852.912
POL,BFA,5226.774999999999
POL,NLD,9585823.217999998
POL,IDN,115669.444
POL,VAT,83.206
POL,TTO,5039.47
POL,NOR,2648669.177
POL,IOT,0.243
POL,BMU,438.9849999999999
POL,OMN,126879.715
POL,FRO,39932.69699999999
POL,COM,2449.705000000001
POL,LBN,81533.571
POL,AZE,72048.005
POL,MNP,0.9769999999999999
SGP,LAO,31892.120395997066
SGP,POL,267007.6908203855
SGP,BEN,11976.511442532123
SGP,USA,23951289.022674553
